Rank,State/UT,Population,Population (%),Decadal growth,Rural population,Percent rural,Urban population,Percent urban,Area(km2),Density(/km2),Sex ratio
1,Uttar Pradesh,199812341,0.1651,20.20%,155317278,0.7773,44495063,0.2227,240928,828,912
2,Maharashtra,112374333,0.0928,20.00%,61556074,0.5478,50818259,0.4522,307713,365,929
3,Bihar,104099452,0.0860,25.40%,92341436,0.8871,11758016,0.1129,94163,1102,918
4,West Bengal,91276115,0.0754,13.80%,62183113,0.6813,29093002,0.3187,88752,1029,953
5,Madhya Pradesh,72626809,0.0600,16.30%,52557404,0.7237,20069405,0.2763,308245,236,931
6,Tamil Nadu,72147030,0.0596,15.60%,37229590,0.5160,34917440,0.4840,130051,555,996
7,Rajasthan,68548437,0.0566,21.30%,51500352,0.7513,17048085,0.2487,342239,201,928
8,Karnataka,61095297,0.0505,15.60%,37469335,0.6133,23625962,0.3867,191791,319,973
9,Gujarat,60439692,0.0499,19.30%,34694609,0.5740,25745083,0.4260,196024,308,919
10,Andhra Pradesh,49577103,0.0410,11.00%,34966693,0.7053,14610410,0.2947,162968,303,993
11,Odisha,41974219,0.0347,14.00%,34970562,0.8331,7003656,0.1669,155707,269,979
12,Telangana,35003674,0.0289,13.58%,21395009,0.6112,13608665,0.3888,112077,312,988
13,Kerala,33406061,0.0276,4.90%,17471135,0.5230,15934926,0.4770,38863,859,1084
14,Jharkhand,32988134,0.0273,22.40%,25055073,0.7595,7933061,0.2405,79714,414,948
15,Assam,31205576,0.0258,17.70%,26807034,0.8590,4398542,14.10 %,78438,398,958
16,Punjab,27743338,0.0229,13.89%,17344192,62.52 %,10399146,37.48 %,50362,551,895
17,Chhattisgarh,25545198,0.0211,22.60%,19607961,0.7676,5937237,0.2324,135191,189,991
18,Haryana,25351462,0.0209,19.90%,16509359,0.6512,8842103,0.3488,44212,573,879
NCT UT1,Delhi,16787941,0.0139,21.20%,419042,0.0250,16368899,0.9750,1484,11297,868
UT2,Jammu & Kashmir,12267032,0.0101,23.60%,9064220,0.7389,3202812,0.2611,42241,297,890
19,Uttarakhand,10086292,0.0083,18.80%,7036954,0.6977,3049338,0.3023,53483,189,963
20,Himachal Pradesh,6864602,0.0057,12.90%,6176050,0.8997,688552,0.1003,55673,123,972
21,Tripura,3673917,0.0030,14.80%,2712464,0.7383,961453,0.2617,10486,350,960
22,Meghalaya,2966889,0.0025,27.90%,2371439,0.7993,595450,0.2007,22429,132,989
23,Manipur,2570390,0.0021,18.60%,1793875,0.6979,776515,0.3021,22327,122,992
24,Nagaland,1978502,0.0016,−0.6%,1407536,0.7114,570966,0.2886,16579,119,931
25,Goa,1458545,0.0012,8.20%,551731,0.3783,906814,0.6217,3702,394,973
26,Arunachal Pradesh,1383727,0.0011,26.00%,1066358,0.7706,317369,0.2294,83743,17,938
UT3,Puducherry,1247953,0.0010,28.10%,395200,0.3167,852753,0.6833,479,2598,1037
27,Mizoram,1097206,0.0009,23.50%,525435,0.4789,571771,0.5211,21081,52,976
UT4,Chandigarh,1055450,0.0009,17.20%,28991,0.0275,1026459,0.9725,114,9252,818
28,Sikkim,610577,0.0005,12.90%,456999,0.7485,153578,0.2515,7096,86,890
UT5,Dadra and Nagar Haveli and Daman and Diu,585764,0.0005,55.10%,243510,0.4157,342254,0.5843,603,970,711
UT6,Andaman & Nicobar Islands,380581,0.0003,6.90%,237093,0.6230,143488,0.3770,8249,46,876
UT7,Ladakh,274000,0.0002,17.80%,43840,0.1600,230160,0.8400,96701,3,853
UT8,Lakshadweep,64473,0.0001,6.30%,14141,0.2193,50332,0.7807,32,2013,946
Total,All India,1210569573,1.0000,17.70%,833463448,0.6884,377106125,0.3116,3287240,382,940
